Gene symbol,Count All BIOGRID Interactions,Gene name,Relation to ALS,Count Left Interactions,Count Right Interactions
DUSP23,4.0,,,3.0,1.0
PNO1,4.0,,,0.0,4.0
EPPK1,4.0,,,0.0,4.0
PEX19,4.0,,,1.0,3.0
DUSP6,4.0,,,3.0,1.0
RIPK4,4.0,,,3.0,1.0
RMDN2,4.0,,,2.0,2.0
PDIA4,4.0,,,0.0,4.0
RAE1,4.0,,,0.0,4.0
PDGFRB,4.0,,,0.0,4.0
PDGFRA,4.0,,,1.0,3.0
ERP44,4.0,,,1.0,3.0
TIMM50,4.0,,,0.0,4.0
DUSP14,4.0,,,2.0,2.0
RNF126,4.0,,,2.0,2.0
PGLS,4.0,,,2.0,2.0
TLR4,4.0,,,3.0,1.0
PGM1,4.0,,,1.0,3.0
RFFL,4.0,,,3.0,1.0
RAB6A,4.0,,,3.0,1.0
PRKCSH,4.0,,,2.0,2.0
PRKCB,4.0,,,4.0,0.0
PRKAB2,4.0,,,1.0,3.0
RAD18,4.0,,,4.0,0.0
DYNLL1,4.0,,,2.0,2.0
PRDX1,4.0,,,1.0,3.0
PRAP1,4.0,,,2.0,2.0
PIK3R3,4.0,,,2.0,2.0
PPP6C,4.0,,,2.0,2.0
ENPP1,4.0,,,0.0,4.0
PITPNB,4.0,,,0.0,4.0
PITPNM1,4.0,,,0.0,4.0
PFN1,4.0,profilin 1,Definitive ALS gene,1.0,3.0
IKBKB,4.0,,,1.0,3.0
NUBP2,4.0,,,1.0,3.0
SEC23A,4.0,,,3.0,1.0
SHMT2,4.0,,,4.0,0.0
LRP6,4.0,,,2.0,2.0
SRPRB,4.0,,,1.0,3.0
LRIF1,4.0,,,0.0,4.0
SIL1,4.0,,,2.0,2.0
SIRT6,4.0,,,3.0,1.0
SRP68,4.0,,,1.0,3.0
SRP14,4.0,,,0.0,4.0
HNF4A,4.0,,,2.0,2.0
SLBP,4.0,,,3.0,1.0
SLC15A3,4.0,,,4.0,0.0
LIMA1,4.0,,,2.0,2.0
LGALS1,4.0,,,3.0,1.0
LCOR,4.0,,,2.0,2.0
SLC25A24,4.0,,,0.0,4.0
SLC25A4,4.0,,,1.0,3.0
SLC25A41,4.0,,,4.0,0.0
LASP1,4.0,,,2.0,2.0
LARS,4.0,,,1.0,3.0
LRRC59,4.0,,,0.0,4.0
SH2D3C,4.0,,,2.0,2.0
MAGEB18,4.0,,,0.0,4.0
SERPINH1,4.0,,,0.0,4.0
MGRN1,4.0,,,2.0,2.0
MFN2,4.0,,,3.0,1.0
MEX3B,4.0,,,4.0,0.0
MED6,4.0,,,0.0,4.0
MED24,4.0,,,0.0,4.0
SERPINA1,4.0,,,2.0,2.0
MDH1,4.0,,,0.0,4.0
MCCC1,4.0,,,0.0,4.0
SSSCA1,4.0,,,4.0,0.0
MAP2K1,4.0,,,3.0,1.0
MBP,4.0,,,0.0,4.0
MBIP,4.0,,,1.0,3.0
SET,4.0,,,0.0,4.0
HIST1H1C,4.0,,,0.0,4.0
MAPK8,4.0,,,2.0,2.0
MAPK6,4.0,,,4.0,0.0
SF3A1,4.0,,,0.0,4.0
HIST2H2BE,4.0,,,0.0,4.0
LARP4,4.0,,,0.0,4.0
SLC25A51,4.0,,,3.0,1.0
KRTAP5-9,4.0,,,2.0,2.0
ICAM5,4.0,,,0.0,4.0
KAT2B,4.0,,,3.0,1.0
JUP,4.0,,,2.0,2.0
HULC,4.0,,,4.0,0.0
HUWE1,4.0,,,2.0,2.0
JMJD1C,4.0,,,1.0,3.0
SNRPA1,4.0,,,0.0,4.0
ITSN2,4.0,,,2.0,2.0
ITSN1,4.0,,,2.0,2.0
ITPA,4.0,,,0.0,4.0
HTATSF1,4.0,,,0.0,4.0
ID1,4.0,,,2.0,2.0
IDH2,4.0,,,1.0,3.0
ISOC2,4.0,,,3.0,1.0
IRF4,4.0,,,3.0,1.0
SPARC,4.0,,,2.0,2.0
INSL5,4.0,,,4.0,0.0
SOD2,4.0,superoxide dismutase 2,Tenuous,1.0,3.0
SORD,4.0,,,0.0,4.0
HTRA2,4.0,,,4.0,0.0
KAT7,4.0,,,3.0,1.0
HOOK1,4.0,,,3.0,1.0
KMT2B,4.0,,,0.0,4.0
KRTAP10-9,4.0,,,0.0,4.0
SREBF1,4.0,,,3.0,1.0
KRTAP10-8,4.0,,,0.0,4.0
HRNR,4.0,,,0.0,4.0
KRT34,4.0,,,1.0,3.0
KRT15,4.0,,,2.0,2.0
SLPI,4.0,,,3.0,1.0
KMT2D,4.0,,,1.0,3.0
SMAP2,4.0,,,3.0,1.0
SND1,4.0,,,0.0,4.0
SMARCA2,4.0,,,1.0,3.0
KLC2,4.0,,,1.0,3.0
HSPA1L,4.0,,,0.0,4.0
SMU1,4.0,,,0.0,4.0
HSPB2,4.0,,,3.0,1.0
KCNMA1,4.0,,,2.0,2.0
SNAP23,4.0,,,2.0,2.0
KCNA3,4.0,,,1.0,3.0
MIEF1,4.0,,,1.0,3.0
H2AFY,4.0,,,3.0,1.0
RPL31,4.0,,,0.0,4.0
A2M,4.0,,,3.0,1.0
NIFK,4.0,,,0.0,4.0
FGF11,4.0,,,4.0,0.0
FGFR3,4.0,,,4.0,0.0
NGFR,4.0,,,2.0,2.0
RPS4X,4.0,,,0.0,4.0
RPS5,4.0,,,0.0,4.0
NF1,4.0,,,2.0,2.0
NELFCD,4.0,,,2.0,2.0
FIS1,4.0,,,3.0,1.0
FKBP1A,4.0,,,1.0,3.0
RPS8,4.0,,,0.0,4.0
TBC1D15,4.0,,,1.0,3.0
NDUFB9,4.0,,,0.0,4.0
NDUFB8,4.0,,,2.0,2.0
FLOT2,4.0,,,0.0,4.0
NDUFA5,4.0,,,0.0,4.0
NDC80,4.0,,,2.0,2.0
NCOA5,4.0,,,0.0,4.0
NCK2,4.0,,,3.0,1.0
NIPSNAP1,4.0,,,0.0,4.0
NKX2-1,4.0,,,4.0,0.0
RPS19,4.0,,,0.0,4.0
TDP2,4.0,,,1.0,3.0
RPL35,4.0,,,0.0,4.0
TEX101,4.0,,,4.0,0.0
NSUN2,4.0,,,1.0,3.0
NSD1,4.0,,,3.0,1.0
TERF2,4.0,,,2.0,2.0
RPL5,4.0,,,0.0,4.0
NR4A1,4.0,,,1.0,3.0
TEK,4.0,,,3.0,1.0
FAP,4.0,,,3.0,1.0
RPS16,4.0,,,0.0,4.0
RPLP2,4.0,,,1.0,3.0
FBF1,4.0,,,3.0,1.0
NOP2,4.0,,,0.0,4.0
TCF20,4.0,,,0.0,4.0
RPS13,4.0,,,0.0,4.0
RPS14,4.0,,,0.0,4.0
NME3,4.0,,,3.0,1.0
TCEA2,4.0,,,1.0,3.0
RRM2,4.0,,,1.0,3.0
NBL1,4.0,,,3.0,1.0
NAP1L4,4.0,,,0.0,4.0
GPATCH8,4.0,,,1.0,3.0
GIT2,4.0,,,4.0,0.0
GLE1,4.0,GLE1 RNA export mediator,Moderate evidence,2.0,2.0
SUPT16H,4.0,,,0.0,4.0
GLUL,4.0,,,1.0,3.0
GNAS,4.0,,,0.0,4.0
GNB1,4.0,,,0.0,4.0
GNB2,4.0,,,1.0,3.0
GOLT1B,4.0,,,4.0,0.0
STX18,4.0,,,3.0,1.0
GEMIN8,4.0,,,1.0,3.0
STX11,4.0,,,4.0,0.0
STT3A,4.0,,,0.0,4.0
GPX4,4.0,,,0.0,4.0
GRAP2,4.0,,,2.0,2.0
STOM,4.0,,,0.0,4.0
GRK5,4.0,,,3.0,1.0
STK38,4.0,,,0.0,4.0
STAT5A,4.0,,,0.0,4.0
GFI1B,4.0,,,4.0,0.0
MKRN2,4.0,,,3.0,1.0
NAP1L1,4.0,,,0.0,4.0
MSN,4.0,,,1.0,3.0
RUNX1T1,4.0,,,2.0,2.0
MYH11,4.0,,,0.0,4.0
MYD88,4.0,,,2.0,2.0
MYBL2,4.0,,,1.0,3.0
MTX2,4.0,,,1.0,3.0
TAF11,4.0,,,1.0,3.0
MTF1,4.0,,,4.0,0.0
SAP18,4.0,,,0.0,4.0
MRPS7,4.0,,,1.0,3.0
SDF2L1,4.0,,,0.0,4.0
SART3,4.0,,,0.0,4.0
MRPL4,4.0,,,3.0,1.0
TAB1,4.0,,,1.0,3.0
SCN2B,4.0,,,4.0,0.0
MOGS,4.0,,,1.0,3.0
SCYL1,4.0,,,4.0,0.0
MMS19,4.0,,,3.0,1.0
SDCBP,4.0,,,1.0,3.0
MAP1B,4.0,,,2.0,2.0
STAT1,4.0,,,1.0,3.0
VPS52,4.0,,,3.0,1.0
ANXA1,4.0,,,0.0,4.0
CYP2D6,4.0,Cytochrome P450 family 2 subfamily D member 6,Tenuous,2.0,2.0
CDC34,4.0,,,3.0,1.0
COX5B,4.0,,,0.0,4.0
VPS13A,4.0,,,0.0,4.0
ASNA1,4.0,,,1.0,3.0
DDIT3,4.0,,,3.0,1.0
UGGT1,4.0,,,2.0,2.0
DGUOK,4.0,,,4.0,0.0
TRIM27,4.0,,,2.0,2.0
ACTN4,4.0,,,1.0,3.0
YTHDF3,4.0,,,3.0,1.0
DDOST,4.0,,,0.0,4.0
ATAD3B,4.0,,,1.0,3.0
VPS13C,4.0,,,0.0,4.0
TRAF4,4.0,,,2.0,2.0
CFL2,4.0,,,0.0,4.0
YTHDF1,4.0,,,2.0,2.0
CTTN,4.0,,,0.0,4.0
ZG16B,4.0,,,2.0,2.0
TUBB2B,4.0,,,2.0,2.0
DDB2,4.0,,,2.0,2.0
UBE2D1,4.0,,,1.0,3.0
ARRDC3,4.0,,,4.0,0.0
ACIN1,4.0,,,1.0,3.0
TSPAN3,4.0,,,3.0,1.0
CTDP1,4.0,,,2.0,2.0
XAB2,4.0,,,0.0,4.0
AP2M1,4.0,,,1.0,3.0
ACO2,4.0,,,0.0,4.0
CHD8,4.0,,,3.0,1.0
ZBTB18,4.0,,,3.0,1.0
XPNPEP1,4.0,,,1.0,3.0
CHCHD10,4.0,coiled-coil-helix-coiled-coil-helix domain containing 10,Definitive ALS gene,2.0,2.0
AZGP1,4.0,,,1.0,3.0
ZFYVE21,4.0,,,4.0,0.0
WDR81,4.0,,,2.0,2.0
ZG16,4.0,,,1.0,3.0
VDAC2,4.0,,,1.0,3.0
TPD52,4.0,,,2.0,2.0
YY1AP1,4.0,,,0.0,4.0
TRIM63,4.0,,,3.0,1.0
ATXN2L,4.0,,,0.0,4.0
TPM3,4.0,,,0.0,4.0
VASN,4.0,,,3.0,1.0
ZHX1,4.0,,,1.0,3.0
DDX42,4.0,,,0.0,4.0
COPE,4.0,,,3.0,1.0
CEBPA,4.0,,,3.0,1.0
CEP290,4.0,,,2.0,2.0
CEBPZ,4.0,,,0.0,4.0
WBP4,4.0,,,3.0,1.0
CELA2B,4.0,,,4.0,0.0
YBX3,4.0,,,0.0,4.0
ATP5F1,4.0,,,1.0,3.0
WDFY3,4.0,,,2.0,2.0
BSG,4.0,,,1.0,3.0
BRSK2,4.0,,,2.0,2.0
TRIM41,4.0,,,1.0,3.0
ATP5H,4.0,,,1.0,3.0
ANKRD28,4.0,,,1.0,3.0
ANKRD13D,4.0,,,2.0,2.0
BRCA2,4.0,,,3.0,1.0
UBE2V1,4.0,,,1.0,3.0
ATP5O,4.0,,,0.0,4.0
YES1,4.0,,,0.0,4.0
UBXN11,4.0,,,2.0,2.0
WAC,4.0,,,2.0,2.0
ATRX,4.0,,,2.0,2.0
UBE2E3,4.0,,,1.0,3.0
UCHL3,4.0,,,2.0,2.0
ATG9A,4.0,,,1.0,3.0
ATXN1L,4.0,,,3.0,1.0
ZMYND8,4.0,,,2.0,2.0
C1QBP,4.0,,,0.0,4.0
DESI1,4.0,,,4.0,0.0
DERL2,4.0,,,4.0,0.0
CEP85,4.0,,,2.0,2.0
TPTE,4.0,,,4.0,0.0
CLASRP,4.0,,,2.0,2.0
YLPM1,4.0,,,2.0,2.0
VRK3,4.0,,,3.0,1.0
CYCS,4.0,,,0.0,4.0
TPT1,4.0,,,2.0,2.0
XRN1,4.0,,,3.0,1.0
C12orf49,4.0,,,4.0,0.0
CDK7,4.0,,,1.0,3.0
ACE,4.0,,,3.0,1.0
WDR82,4.0,,,0.0,4.0
TP53I3,4.0,,,2.0,2.0
CHUK,4.0,,,1.0,3.0
BBS1,4.0,,,2.0,2.0
CAT,4.0,,,0.0,4.0
TSC1,4.0,,,1.0,3.0
TSC2,4.0,,,1.0,3.0
APOB,4.0,,,4.0,0.0
CRHBP,4.0,,,4.0,0.0
CHEK1,4.0,,,3.0,1.0
UBA1,4.0,,,1.0,3.0
U2AF1,4.0,,,1.0,3.0
ARHGEF28,4.0,rho guanine nucleotide exchange factor 28,Moderate evidence,0.0,4.0
BBOX1,4.0,,,4.0,0.0
TOP3B,4.0,,,1.0,3.0
AKAP1,4.0,,,3.0,1.0
UBA52,4.0,,,0.0,4.0
AIP,4.0,,,2.0,2.0
UBAC2,4.0,,,1.0,3.0
CBFB,4.0,,,4.0,0.0
CBL,4.0,,,2.0,2.0
CLUAP1,4.0,,,3.0,1.0
DNAJB11,4.0,,,2.0,2.0
TXNDC15,4.0,,,4.0,0.0
ARFGAP1,4.0,,,0.0,4.0
ZCCHC8,4.0,,,0.0,4.0
DBN1,4.0,,,2.0,2.0
USP20,4.0,,,1.0,3.0
TOLLIP,4.0,,,2.0,2.0
CRYZ,4.0,,,3.0,1.0
ARG1,4.0,,,0.0,4.0
CRX,4.0,,,4.0,0.0
DNAJA2,4.0,,,1.0,3.0
USP19,4.0,,,1.0,3.0
CKAP4,4.0,,,0.0,4.0
CCDC33,4.0,,,0.0,4.0
CLIC4,4.0,,,1.0,3.0
DAPK3,4.0,,,2.0,2.0
TRPM7,4.0,transient receptor potential cation channel subfamily M member 7,Tenuous,2.0,2.0
CARKD,4.0,,,0.0,4.0
TRADD,4.0,,,1.0,3.0
WTAP,4.0,,,2.0,2.0
ACAT1,4.0,,,1.0,3.0
ZBTB32,4.0,,,3.0,1.0
CCT4,4.0,,,0.0,4.0
APBA1,4.0,,,3.0,1.0
ARIH1,4.0,,,3.0,1.0
BANF1,4.0,,,0.0,4.0
CCT6A,4.0,,,0.0,4.0
BICD1,4.0,,,1.0,3.0
BAG4,4.0,,,3.0,1.0
TUBGCP2,4.0,,,1.0,3.0
CALU,4.0,,,2.0,2.0
VANGL2,4.0,,,2.0,2.0
CTAG1B,4.0,,,3.0,1.0
AIFM1,4.0,,,1.0,3.0
CHMP2A,4.0,,,1.0,3.0
BET1,4.0,,,4.0,0.0
DIMT1,4.0,,,1.0,3.0
CMTR1,4.0,,,4.0,0.0
BAD,4.0,,,3.0,1.0
NEK2,3.0,,,2.0,1.0
CLIC1,3.0,,,2.0,1.0
HMOX2,3.0,,,2.0,1.0
NENF,3.0,,,1.0,2.0
HN1,3.0,,,0.0,3.0
TTK,3.0,,,0.0,3.0
HDGF,3.0,,,1.0,2.0
BBS4,3.0,,,2.0,1.0
CNOT3,3.0,,,1.0,2.0
HDAC7,3.0,,,2.0,1.0
HDAC11,3.0,,,2.0,1.0
NAA15,3.0,,,0.0,3.0
BASP1,3.0,,,0.0,3.0
CNN2,3.0,,,2.0,1.0
NETO2,3.0,,,1.0,2.0
NAA10,3.0,,,1.0,2.0
HNRNPCL1,3.0,,,0.0,3.0
HIST1H2BB,3.0,,,2.0,1.0
HCK,3.0,,,1.0,2.0
RPS6KA3,3.0,,,3.0,0.0
HIST1H2BG,3.0,,,3.0,0.0
SRGN,3.0,,,3.0,0.0
RPS6KA1,3.0,,,3.0,0.0
COLGALT2,3.0,,,1.0,2.0
RTF1,3.0,,,0.0,3.0
TXNDC12,3.0,,,1.0,2.0
HBP1,3.0,,,3.0,0.0
CNBP,3.0,,,0.0,3.0
NAE1,3.0,,,2.0,1.0
COL10A1,3.0,,,3.0,0.0
NDRG1,3.0,,,3.0,0.0
NEFL,3.0,neurofilament light,Tenuous,0.0,3.0
HINT2,3.0,,,1.0,2.0
CNTRL,3.0,,,2.0,1.0
NDUFS8,3.0,,,3.0,0.0
NDUFS4,3.0,,,2.0,1.0
NDUFAB1,3.0,,,3.0,0.0
SRSF2,3.0,,,0.0,3.0
CLPB,3.0,,,0.0,3.0
NBN,3.0,,,1.0,2.0
NBPF19,3.0,,,0.0,3.0
SRRM1,3.0,,,1.0,2.0
NCAPG,3.0,,,1.0,2.0
NCAPH,3.0,,,2.0,1.0
BAX,3.0,,,1.0,2.0
NDUFS2,3.0,,,0.0,3.0
AUP1,3.0,,,2.0,1.0
WRN,3.0,,,2.0,1.0
XPO6,3.0,,,2.0,1.0
SSR3,3.0,,,0.0,3.0
NDUFA7,3.0,,,1.0,2.0
CNTROB,3.0,,,2.0,1.0
NEB,3.0,,,0.0,3.0
SSX2IP,3.0,,,2.0,1.0
HK2,3.0,,,2.0,1.0
TTF2,3.0,,,2.0,1.0
HMMR,3.0,,,1.0,2.0
HIST2H3C,3.0,,,0.0,3.0
NEDD1,3.0,,,2.0,1.0
NDUFA12,3.0,,,0.0,3.0
HIPK1,3.0,,,0.0,3.0
RRP12,3.0,,,0.0,3.0
SRP9,3.0,,,1.0,2.0
HERC2,3.0,,,3.0,0.0
SSR4,3.0,,,0.0,3.0
NCKIPSD,3.0,,,2.0,1.0
HERC4,3.0,,,0.0,3.0
CMAS,3.0,,,0.0,3.0
RRS1,3.0,,,2.0,1.0
HEXB,3.0,,,0.0,3.0
TNS3,3.0,,,1.0,2.0
ST8SIA4,3.0,,,3.0,0.0
RPL29,3.0,,,0.0,3.0
GLO1,3.0,,,1.0,2.0
RPL22,3.0,,,0.0,3.0
GLP1R,3.0,,,3.0,0.0
NUP133,3.0,,,0.0,3.0
RPL23A,3.0,,,0.0,3.0
GLUD1,3.0,,,0.0,3.0
TSFM,3.0,,,1.0,2.0
GMEB2,3.0,,,1.0,2.0
SUN2,3.0,,,1.0,2.0
RPL26,3.0,,,0.0,3.0
SUMO3,3.0,,,0.0,3.0
RPL27,3.0,,,1.0,2.0
TSGA10,3.0,,,2.0,1.0
GNAI2,3.0,,,1.0,2.0
GLI3,3.0,,,1.0,2.0
SUMF2,3.0,,,0.0,3.0
GNAQ,3.0,,,1.0,2.0
RPL30,3.0,,,0.0,3.0
ARMC1,3.0,,,2.0,1.0
RPL32,3.0,,,0.0,3.0
SULF2,3.0,,,0.0,3.0
GNL3,3.0,,,0.0,3.0
NSUN4,3.0,,,0.0,3.0
ARMC6,3.0,,,1.0,2.0
ZBTB25,3.0,,,3.0,0.0
SUCLG1,3.0,,,0.0,3.0
NRL,3.0,,,1.0,2.0
ARNT,3.0,,,3.0,0.0
ZC3H11A,3.0,,,0.0,3.0
RPL21,3.0,,,0.0,3.0
NF2,3.0,,,2.0,1.0
CRY1,3.0,,,3.0,0.0
ZDHHC17,3.0,,,3.0,0.0
OSBPL6,3.0,,,0.0,3.0
OSBPL3,3.0,,,0.0,3.0
SYNE4,3.0,,,3.0,0.0
SYNE2,3.0,,,0.0,3.0
SYNC,3.0,,,3.0,0.0
OSBPL11,3.0,,,0.0,3.0
GATAD2B,3.0,,,0.0,3.0
OSBPL10,3.0,,,0.0,3.0
OPRM1,3.0,,,2.0,1.0
RPL11,3.0,,,0.0,3.0
SYBU,3.0,,,0.0,3.0
ZC3HC1,3.0,,,0.0,3.0
GDF9,3.0,,,1.0,2.0
SUPT5H,3.0,,,1.0,2.0
GDI1,3.0,,,2.0,1.0
ARHGDIA,3.0,,,1.0,2.0
TRPV1,3.0,,,3.0,0.0
ARHGEF12,3.0,,,0.0,3.0
TRUB2,3.0,,,1.0,2.0
RPL15,3.0,,,0.0,3.0
RPL17,3.0,,,0.0,3.0
ARHGEF2,3.0,,,1.0,2.0
NUPL2,3.0,,,0.0,3.0
NUP98,3.0,,,0.0,3.0
RPL18A,3.0,,,0.0,3.0
GJA1,3.0,,,2.0,1.0
NUP62,3.0,,,0.0,3.0
ARRB1,3.0,,,2.0,1.0
GOT1,3.0,,,2.0,1.0
GOT2,3.0,,,0.0,3.0
COPS3,3.0,,,0.0,3.0
RPS17,3.0,,,0.0,3.0
RPS18,3.0,,,0.0,3.0
NLK,3.0,,,0.0,3.0
ATOH1,3.0,,,3.0,0.0
NKRF,3.0,,,0.0,3.0
STAU2,3.0,,,0.0,3.0
NKD2,3.0,,,2.0,1.0
ATP1A1,3.0,,,0.0,3.0
RPS20,3.0,,,0.0,3.0
RPS21,3.0,,,0.0,3.0
RPS23,3.0,,,0.0,3.0
ATP1B3,3.0,,,1.0,2.0
NHP2L1,3.0,,,2.0,1.0
NGRN,3.0,,,0.0,3.0
STYXL1,3.0,,,2.0,1.0
TTC39B,3.0,,,0.0,3.0
NGB,3.0,,,3.0,0.0
H3F3A,3.0,,,0.0,3.0
RPS26,3.0,,,0.0,3.0
RPS27,3.0,,,2.0,1.0
ATP4A,3.0,,,2.0,1.0
YEATS4,3.0,,,3.0,0.0
NFKB2,3.0,,,0.0,3.0
YARS2,3.0,,,0.0,3.0
HAUS1,3.0,,,2.0,1.0
ATP5I,3.0,,,1.0,2.0
NFATC2,3.0,,,2.0,1.0
NFATC1,3.0,,,2.0,1.0
YME1L1,3.0,,,0.0,3.0
NLRP4,3.0,,,1.0,2.0
GTF2E2,3.0,,,2.0,1.0
NLRX1,3.0,,,0.0,3.0
STXBP1,3.0,,,2.0,1.0
STX5,3.0,,,3.0,0.0
GPD2,3.0,,,0.0,3.0
GPI,3.0,,,0.0,3.0
STX1A,3.0,,,2.0,1.0
GPN3,3.0,,,2.0,1.0
TSR1,3.0,,,0.0,3.0
ASB2,3.0,,,3.0,0.0
NPHP1,3.0,,,2.0,1.0
NPEPPS,3.0,,,1.0,2.0
NPC1,3.0,,,3.0,0.0
GPX3,3.0,glutathione peroxidase 3,Moderate evidence,2.0,1.0
COX6C,3.0,,,0.0,3.0
STRBP,3.0,,,1.0,2.0
ASPH,3.0,,,0.0,3.0
STOML2,3.0,,,0.0,3.0
GRHPR,3.0,,,0.0,3.0
NOP58,3.0,,,0.0,3.0
STMN1,3.0,,,1.0,2.0
GRIPAP1,3.0,,,1.0,2.0
ATF5,3.0,,,0.0,3.0
NMT1,3.0,,,0.0,3.0
GSE1,3.0,,,0.0,3.0
CORO1C,3.0,,,1.0,2.0
GSTK1,3.0,,,2.0,1.0
ATG2A,3.0,,,1.0,2.0
GTF2A1,3.0,,,2.0,1.0
MYO1C,3.0,,,0.0,3.0
WIBG,3.0,,,0.0,3.0
TXNL1,3.0,,,2.0,1.0
MARS,3.0,,,1.0,2.0
UHRF2,3.0,,,0.0,3.0
VEGFB,3.0,,,3.0,0.0
CD99L2,3.0,,,2.0,1.0
VDAC3,3.0,,,1.0,2.0
MCAT,3.0,,,0.0,3.0
KLC4,3.0,,,1.0,2.0
SMARCB1,3.0,,,0.0,3.0
C8orf82,3.0,,,2.0,1.0
VAV3,3.0,,,1.0,2.0
CD79A,3.0,,,3.0,0.0
KLHL12,3.0,,,0.0,3.0
C9orf72,3.0,C9orf72-SMCR8 complex subunit,Definitive ALS gene,1.0,2.0
C9orf78,3.0,,,0.0,3.0
MATK,3.0,,,0.0,3.0
MARK3,3.0,,,2.0,1.0
C1QA,3.0,,,3.0,0.0
VAV1,3.0,,,1.0,2.0
CD4,3.0,,,3.0,0.0
KMT2A,3.0,,,1.0,2.0
CD3D,3.0,,,2.0,1.0
MARCKSL1,3.0,,,0.0,3.0
MARCKS,3.0,,,0.0,3.0
MARCH7,3.0,,,1.0,2.0
KPNA1,3.0,,,1.0,2.0
CD2AP,3.0,,,0.0,3.0
VAT1,3.0,,,0.0,3.0
SLTM,3.0,,,0.0,3.0
CACNA2D2,3.0,,,0.0,3.0
SLMAP,3.0,,,0.0,3.0
MAPK9,3.0,,,3.0,0.0
MCL1,3.0,,,2.0,1.0
SERPINB5,3.0,,,2.0,1.0
KIF3C,3.0,,,1.0,2.0
KIF3B,3.0,,,0.0,3.0
C1QL4,3.0,,,2.0,1.0
CDK11B,3.0,,,1.0,2.0
CDH5,3.0,,,1.0,2.0
SEC22B,3.0,,,2.0,1.0
MIF,3.0,,,0.0,3.0
KCTD17,3.0,,,0.0,3.0
MIEF2,3.0,,,1.0,2.0
KDELC2,3.0,,,0.0,3.0
SEC31A,3.0,,,0.0,3.0
SMOC1,3.0,,,0.0,3.0
VPS33B,3.0,,,1.0,2.0
MGMT,3.0,,,1.0,2.0
SEC62,3.0,,,2.0,1.0
C1orf198,3.0,,,0.0,3.0
MFAP1,3.0,,,1.0,2.0
VPS26B,3.0,,,3.0,0.0
SELPLG,3.0,,,2.0,1.0
METTL17,3.0,,,0.0,3.0
KIAA0368,3.0,,,2.0,1.0
SENP3,3.0,,,2.0,1.0
KIAA0753,3.0,,,2.0,1.0
MEF2A,3.0,,,1.0,2.0
C20orf195,3.0,,,3.0,0.0
MED26,3.0,,,1.0,2.0
MED23,3.0,,,0.0,3.0
MED16,3.0,,,0.0,3.0
VPRBP,3.0,,,2.0,1.0
MECOM,3.0,,,2.0,1.0
SMC1A,3.0,,,1.0,2.0
SLIRP,3.0,,,0.0,3.0
KRT16,3.0,,,0.0,3.0
CACUL1,3.0,,,2.0,1.0
LSM2,3.0,,,1.0,2.0
USE1,3.0,,,2.0,1.0
CASP9,3.0,,,1.0,2.0
USF2,3.0,,,2.0,1.0
LSG1,3.0,,,0.0,3.0
SLC25A11,3.0,,,0.0,3.0
LRRK1,3.0,,,3.0,0.0
LCMT2,3.0,,,1.0,2.0
LCN2,3.0,,,1.0,2.0
SLC1A2,3.0,solute carrier family 1 member 2,Tenuous,1.0,2.0
LRP1,3.0,,,2.0,1.0
LRIG3,3.0,,,3.0,0.0
SLC18A2,3.0,,,0.0,3.0
LENG1,3.0,,,2.0,1.0
CBX3,3.0,,,1.0,2.0
USP11,3.0,,,1.0,2.0
USP12,3.0,,,0.0,3.0
LGALS3BP,3.0,,,2.0,1.0
LGMN,3.0,,,2.0,1.0
CBX4,3.0,,,1.0,2.0
LPAR4,3.0,,,2.0,1.0
CCAR1,3.0,,,1.0,2.0
USP36,3.0,,,2.0,1.0
SLAMF1,3.0,,,3.0,0.0
LNX2,3.0,,,2.0,1.0
USP30,3.0,,,1.0,2.0
LNPEP,3.0,,,2.0,1.0
SKI,3.0,,,3.0,0.0
CCDC132,3.0,,,2.0,1.0
USP26,3.0,,,1.0,2.0
LATS2,3.0,,,2.0,1.0
SHB,3.0,,,1.0,2.0
KRT27,3.0,,,1.0,2.0
SH3KBP1,3.0,,,1.0,2.0
KRT31,3.0,,,3.0,0.0
KRT40,3.0,,,0.0,3.0
SLC6A15,3.0,,,1.0,2.0
SF3A2,3.0,,,3.0,0.0
MAP7D1,3.0,,,0.0,3.0
MAP4K4,3.0,,,1.0,2.0
VAMP2,3.0,,,1.0,2.0
MAP3K10,3.0,,,2.0,1.0
SLC3A2,3.0,,,0.0,3.0
CAPN2,3.0,,,1.0,2.0
CARD8,3.0,,,3.0,0.0
MALT1,3.0,,,1.0,2.0
KRTAP13-2,3.0,,,0.0,3.0
MALSU1,3.0,,,0.0,3.0
MALL,3.0,,,2.0,1.0
KRTAP19-7,3.0,,,0.0,3.0
MAGEA3,3.0,,,3.0,0.0
KRTAP21-2,3.0,,,1.0,2.0
CASC3,3.0,,,0.0,3.0
CCNDBP1,3.0,,,2.0,1.0
CCNB2,3.0,,,1.0,2.0
SLC30A2,3.0,,,1.0,2.0
LZTS2,3.0,,,1.0,2.0
SH2D1A,3.0,,,1.0,2.0
CASP3,3.0,,,3.0,0.0
LACTB,3.0,,,1.0,2.0
SLC25A6,3.0,,,1.0,2.0
LAMP2,3.0,,,0.0,3.0
UQCRH,3.0,,,1.0,2.0
SNAP29,3.0,,,2.0,1.0
CDK13,3.0,,,2.0,1.0
CKB,3.0,,,0.0,3.0
MRPS28,3.0,,,0.0,3.0
MTAP,3.0,,,0.0,3.0
